tweet_id,timestamp,source,rating,name,type,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,retweet_count,favorite_count
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,1.3,Tilly,,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True,6514,33819
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,1.2,Archie,,1,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,4328,25461
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,1.2,Franklin,,2,basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True,9774,41048
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,1.3,,,1,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.07690219999999999,False,3261,20562
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,1.3,Jax,,1,Appenzeller,0.34170300000000003,True,Border_collie,0.199287,True,ice_lolly,0.193548,False,2158,12041
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,1.3,,,2,Pomeranian,0.566142,True,Eskimo_dog,0.17840599999999998,True,Pembroke,0.0765069,True,16716,56848
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,1.3,Zoey,,1,Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True,4429,28226
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,1.4,Cassie,doggo,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,7711,32467
890006608113172480,2017-07-26 00:31:25+00:00,Twitter for iPhone,1.3,Koda,,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True,7624,31166
889880896479866881,2017-07-25 16:11:53+00:00,Twitter for iPhone,1.3,Bruno,,1,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False,5156,28268
889665388333682689,2017-07-25 01:55:32+00:00,Twitter for iPhone,1.3,,puppo,1,Pembroke,0.966327,True,Cardigan,0.0273557,True,basenji,0.00463323,True,8538,38818
889638837579907072,2017-07-25 00:10:02+00:00,Twitter for iPhone,1.2,Ted,,1,French_bulldog,0.99165,True,boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True,4735,27672
889531135344209921,2017-07-24 17:02:04+00:00,Twitter for iPhone,1.3,Stuart,puppo,1,golden_retriever,0.953442,True,Labrador_retriever,0.0138341,True,redbone,0.00795775,True,2321,15359
889278841981685760,2017-07-24 00:19:32+00:00,Twitter for iPhone,1.3,Oliver,,1,whippet,0.626152,True,borzoi,0.194742,True,Saluki,0.0273507,True,5637,25652
888917238123831296,2017-07-23 00:22:39+00:00,Twitter for iPhone,1.2,Jim,,1,golden_retriever,0.714719,True,Tibetan_mastiff,0.120184,True,Labrador_retriever,0.105506,True,4709,29611
888804989199671297,2017-07-22 16:56:37+00:00,Twitter for iPhone,1.3,Zeke,,1,golden_retriever,0.46976,True,Labrador_retriever,0.184172,True,English_setter,0.0734817,True,4559,26080
888554962724278272,2017-07-22 00:23:06+00:00,Twitter for iPhone,1.3,Ralphus,,3,Siberian_husky,0.700377,True,Eskimo_dog,0.166511,True,malamute,0.111411,True,3732,20290
888078434458587136,2017-07-20 16:49:33+00:00,Twitter for iPhone,1.2,Gerald,,1,French_bulldog,0.995026,True,pug,0.000931908,True,bull_mastiff,0.000903211,True,3653,22201
887705289381826560,2017-07-19 16:06:48+00:00,Twitter for iPhone,1.3,Jeffrey,,1,basset,0.821664,True,redbone,0.0875815,True,Weimaraner,0.026236400000000003,True,5609,30779
887473957103951883,2017-07-19 00:47:34+00:00,Twitter for iPhone,1.3,Canela,,2,Pembroke,0.809197,True,Rhodesian_ridgeback,0.05495,True,beagle,0.0389148,True,18781,69871
887343217045368832,2017-07-18 16:08:03+00:00,Twitter for iPhone,1.3,,,1,Mexican_hairless,0.330741,True,sea_lion,0.275645,False,Weimaraner,0.134203,True,10737,34222
887101392804085760,2017-07-18 00:07:08+00:00,Twitter for iPhone,1.2,,,1,Samoyed,0.733942,True,Eskimo_dog,0.0350295,True,Staffordshire_bullterrier,0.029704700000000007,True,6167,31061
886983233522544640,2017-07-17 16:17:36+00:00,Twitter for iPhone,1.3,Maya,,2,Chihuahua,0.793469,True,toy_terrier,0.143528,True,can_opener,0.0322529,False,8084,35859
886736880519319552,2017-07-16 23:58:41+00:00,Twitter for iPhone,1.3,Mingus,,1,kuvasz,0.309706,True,Great_Pyrenees,0.186136,True,Dandie_Dinmont,0.08634630000000001,True,3443,12306
886366144734445568,2017-07-15 23:25:31+00:00,Twitter for iPhone,1.2,Roscoe,pupper,1,French_bulldog,0.999201,True,Chihuahua,0.000361178,True,Boston_bull,7.55616e-05,True,3316,21524
886258384151887873,2017-07-15 16:17:19+00:00,Twitter for iPhone,1.3,Waffles,,1,pug,0.943575,True,shower_cap,0.0252856,False,Siamese_cat,0.00284892,False,6523,28469
885984800019947520,2017-07-14 22:10:11+00:00,Twitter for iPhone,1.2,Jimbo,,1,Blenheim_spaniel,0.972494,True,Shih-Tzu,0.00663012,True,Bernese_mountain_dog,0.00623915,True,7097,33382
885528943205470208,2017-07-13 15:58:47+00:00,Twitter for iPhone,1.3,Maisey,,1,pug,0.369275,True,Labrador_retriever,0.265835,True,kuvasz,0.134697,True,6683,36689
885167619883638784,2017-07-12 16:03:00+00:00,Twitter for iPhone,1.3,,,4,malamute,0.8124819999999999,True,Siberian_husky,0.0717125,True,Eskimo_dog,0.0557697,True,4556,22367
